chem_id,chem_name,induces_n,inhibits_n,induces_genes,inhibits_genes,badge
MESH:C109602,"3-(2-(4-(3-chloro-2-methylphenyl)1-piperazinyl)ethyl)5,6-dimethoxy-1-(4-imidazolylmethyl)-1H-indazol dihydrochloride 3.5 hydrate",0,5,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:C545880,"4,5-dihydropyrazole-1,5-dicarboxylic acid 1-((4-chlorophenyl)-amide) 5-(2-oxo-2H-(1,3')bipyridinyl-6'-yl)-amide",5,3,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D015127,"9,10-Dimethyl-1,2-benzanthracene",5,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2,Check DDI: mixed
MESH:D000111,Acetylcysteine,5,5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D000157,Aconitine,4,5,CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: mixed
MESH:D000639,Amitriptyline,5,1,CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5,CYP2D6,Check DDI: mixed
MESH:D000655,Amodiaquine,5,5,CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5,CYP1A2|CYP2C19|CYP2C9|CYP3A4|UGT2B7,Check DDI: mixed
MESH:C006680,baicalein,3,5,ABCB1|CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C061004,benidipine,2,5,CYP1A2|CYP3A4,ABCB1|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C046943,brequinar,5,0,CYP1A2|CYP2C9|CYP3A4|CYP3A5|UGT1A1,"",Check DDI: ↑
MESH:C053083,bromfenac,5,1,CYP1A2|CYP2C19|CYP2C9|CYP3A4|UGT2B7,UGT2B7,Check DDI: mixed
MESH:D002117,Calcitriol,5,2,ABCB1|CYP2C19|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP3A4,Check DDI: mixed
MESH:D002211,Capsaicin,2,5,ABCB1|UGT1A1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C068623,carnosol,0,5,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:D000068579,Celecoxib,2,5,ABCB1|CYP2C9,ABCB1|CYP1A2|CYP3A4|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D002738,Chloroquine,3,5,CYP2D6|CYP3A4|SLCO1B1,ABCB1|CYP1A2|CYP2D6|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:C007033,chlortoluron,0,5,"",ABCB1|CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C043561,chrysin,4,5,ABCB1|CYP1A2|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP3A4|UGT1A1,Check DDI: mixed
MESH:D002945,Cisplatin,5,4,ABCB1|CYP1A2|CYP3A4|CYP3A5|UGT2B7,ABCB1|CYP1A2|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:C079149,clozapine N-oxide,5,2,CYP1A2|CYP2C19|CYP2D6|CYP3A4|CYP3A5,CYP1A2|CYP3A4,Check DDI: mixed
MESH:D003474,Curcumin,3,5,ABCB1|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2D6|CYP3A4|UGT1A1,Check DDI: mixed
MESH:D036381,Diarylheptanoids,1,5,CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C041517,"dibenzo(a,l)pyrene",5,0,ABCB1|CYP1A2|CYP2C19|UGT1A1|UGT2B7,"",Check DDI: ↑
MESH:D004121,Dimethyl Sulfoxide,2,5,CYP1A2|CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C039602,diosmetin,1,5,CYP1A2,CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5,Check DDI: mixed
MESH:C034192,ellipticine,5,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2|CYP3A4,Check DDI: mixed
MESH:D004970,Estrone,5,2,ABCB1|CYP1A2|CYP3A4|UGT1A1|UGT2B7,ABCB1|CYP3A4,Check DDI: mixed
MESH:D000431,Ethanol,5,2,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4,ABCB1|CYP2C9,Check DDI: mixed
MESH:D005473,Fluoxetine,4,5,CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP2C19|CYP2D6|CYP3A4|CYP3A5|SLCO1B1,Check DDI: mixed
MESH:C037032,galangin,4,5,ABCB1|CYP1A2|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP3A4|UGT2B7,Check DDI: mixed
MESH:C001654,hyperforin,5,2,ABCB1|CYP2C9|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP3A4,Check DDI: mixed
MESH:C001449,inermin,0,5,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:C549713,isocarbophos,0,5,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:C040920,isoliquiritigenin,2,5,CYP1A2|UGT1A1,CYP1A2|CYP2C19|CYP2C9|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:D008095,Lithocholic Acid,5,3,ABCB1|CYP3A4|CYP3A5|SLCO1B1|UGT2B7,CYP3A4|CYP3A5|UGT2B7,Check DDI: mixed
MESH:C501277,Mangifera indica extract,2,5,CYP1A2|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C050699,mepirodipine,0,5,"",ABCB1|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:D008730,Methoxsalen,2,5,ABCB1|CYP3A4,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D008731,Methoxychlor,5,5,CYP1A2|CYP2C19|CYP2C9|CYP3A4|UGT1A1,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D008748,Methylcholanthrene,5,3,CYP1A2|CYP3A4|CYP3A5|UGT1A1|UGT2B7,CYP1A2|CYP3A4|UGT1A1,Check DDI: mixed
MESH:C000632506,mHA11,5,0,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,"",Check DDI: ↑
MESH:D008939,Mitotane,3,5,ABCB1|CYP1A2|CYP3A4,ABCB1|CYP2C19|CYP2D6|CYP3A4|UGT2B7,Check DDI: mixed
MESH:D009249,NADP,5,5,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C031721,naphthalene,5,2,CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A5,ABCB1|CYP1A2,Check DDI: mixed
MESH:C005274,naringin,0,5,"",ABCB1|CYP1A2|CYP2C9|CYP3A4|SLCO1B1,Check DDI: ↓
MESH:C082412,notopterol,5,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP2D6|CYP3A4,Check DDI: mixed
MESH:D017239,Paclitaxel,3,5,ABCB1|CYP2C9|CYP3A4,ABCB1|CYP1A2|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C006253,pirinixic acid,5,0,ABCB1|CYP1A2|CYP3A4|CYP3A5|UGT1A1,"",Check DDI: ↑
MESH:D011433,Propranolol,5,2,ABCB1|CYP2C19|CYP2C9|CYP2D6|CYP3A4,ABCB1|CYP2D6,Check DDI: mixed
MESH:C432165,pyrazolanthrone,5,5,ABCB1|CYP1A2|CYP2C9|CYP3A4|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP3A4|UGT1A1,Check DDI: mixed
MESH:D011802,Quinidine,5,4,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4,ABCB1|CYP1A2|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D000077154,Rosiglitazone,5,4,ABCB1|CYP1A2|CYP2C9|CYP3A4|UGT1A1,CYP2D6|CYP3A4|SLCO1B1|UGT2B7,Check DDI: mixed
MESH:D000077385,Silybin,0,5,"",ABCB1|CYP2C9|CYP3A4|UGT1A1|UGT2B7,Check DDI: ↓
MESH:D013426,Sulfaphenazole,1,5,CYP2C9,CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D013645,Tartrazine,0,5,"",ABCB1|CYP2C9|CYP3A4|CYP3A5|SLCO1B1,Check DDI: ↓
MESH:C417209,thiacloprid,5,1,CYP1A2|CYP2C19|CYP2C9|CYP3A4|CYP3A5,CYP2C19,Check DDI: mixed
MESH:D008063,Thioctic Acid,0,5,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:C507866,"trans-1,2-dihydro-1,2-naphthalenediol",5,0,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,"",Check DDI: ↑
MESH:D014191,Tranylcypromine,5,2,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2|CYP2C19,Check DDI: mixed
MESH:C023957,triflumuron,5,3,CYP1A2|CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP1A2|CYP2C19|CYP3A4,Check DDI: mixed
MESH:D000077288,Troglitazone,5,4,CYP2C19|CYP3A4|CYP3A5|SLCO1B1|UGT1A1,CYP2C19|CYP2C9|CYP3A4|CYP3A5,Check DDI: mixed
MESH:C521013,veliparib,5,0,ABCB1|CYP1A2|CYP2C19|CYP2D6|CYP3A4,"",Check DDI: ↑
MESH:D014859,Warfarin,3,5,CYP2C9|CYP3A4|UGT1A1,CYP2C9|CYP2D6|CYP3A4|UGT1A1|UGT2B7,Check DDI: mixed
MESH:C062735,zafirlukast,1,5,CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:C029659,zearalenol,1,5,CYP1A2,CYP1A2|CYP2C9|CYP2D6|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:C517214,12-hydroxyellipticine,4,1,CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP3A4,Check DDI: mixed
MESH:C486136,16-O-demethylaconitine,4,4,CYP2C9|CYP2D6|CYP3A4|CYP3A5,CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: mixed
MESH:C000595926,"2-(4-bromo-2,5-dimethoxyphenyl)-N-((2-methoxyphenyl)methyl)ethanamine",4,4,CYP1A2|CYP2C19|CYP2D6|CYP3A4,CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C000601106,"2-(4-chloro-2,5-dimethoxyphenyl)-N-((2-methoxyphenyl)methyl)ethanamine",4,4,CYP1A2|CYP2C19|CYP2D6|CYP3A4,CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C554181,"2-(4-iodo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",4,4,CYP1A2|CYP2C19|CYP2D6|CYP3A4,CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C008745,"4,4'-bisphenol F",4,0,CYP1A2|CYP2C19|CYP2C9|CYP3A4,"",Check DDI: ↑
MESH:C570106,"4,4'-cyclohexylidenebisphenol",4,0,CYP1A2|CYP2C19|CYP2C9|CYP3A4,"",Check DDI: ↑
MESH:C055492,4-hydroxy-N-desmethyltamoxifen,4,2,CYP1A2|CYP2D6|CYP3A4|CYP3A5,CYP2C9|CYP2D6,Check DDI: mixed
MESH:C001470,4-ipomeanol,4,0,CYP1A2|CYP2C19|CYP2D6|CYP3A4,"",Check DDI: ↑
MESH:C094781,"5,4'-dihydroxy-3,6,7,8,3'-pentamethoxyflavone",0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: ↓
MESH:C040997,5-bromotryptamine,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C529169,5-chlorotryptamine,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C051101,5-fluoro-alpha-methyltryptamine,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C034536,5-fluorotryptamine,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C117715,5-hydroxydiclofenac,4,1,CYP2C19|CYP2D6|CYP3A4|CYP3A5,CYP3A4,Check DDI: mixed
MESH:C062711,5-hydroxyflavone,2,4,CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C027552,5-methyltryptamine,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C084236,7-hydroxy-4-trifluoromethylcoumarin,4,3,CYP1A2|CYP2C19|UGT1A1|UGT2B7,CYP1A2|UGT1A1|UGT2B7,Check DDI: mixed
MESH:C429845,7-hydroxyflavone,1,4,CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C036696,7-methyltryptamine,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C000615602,AB-FUBINACA,0,4,"",CYP2C19|CYP2C9|CYP2D6|SLCO1B1,Check DDI: ↓
MESH:C496492,abrine,4,1,CYP1A2|CYP2C9|CYP3A5|SLCO1B1,UGT1A1,Check DDI: mixed
MESH:C409045,almotriptan,2,4,CYP2D6|CYP3A4,CYP1A2|CYP2C19|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D017962,alpha-Linolenic Acid,2,4,CYP2C19|CYP2C9,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D000661,Amphetamine,4,4,CYP1A2|CYP2C19|CYP2D6|CYP3A4,CYP1A2|CYP2C19|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D047310,Apigenin,2,4,CYP3A4|UGT1A1,CYP1A2|CYP2C9|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:D001151,Arsenic,4,1,ABCB1|CYP1A2|CYP3A4|UGT1A1,CYP3A5,Check DDI: mixed
MESH:D000077237,Arsenic Trioxide,3,4,ABCB1|CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C516713,auriculasin,3,4,CYP2C19|CYP2C9|CYP2D6,CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D001663,Bilirubin,4,4,CYP2C9|CYP3A4|SLCO1B1|UGT1A1,CYP2C9|CYP3A4|SLCO1B1|UGT1A1,Check DDI: mixed
MESH:C004541,biochanin A,2,4,CYP1A2|UGT1A1,ABCB1|CYP1A2|CYP2C9|SLCO1B1,Check DDI: mixed
MESH:C010831,bufuralol,4,1,CYP1A2|CYP2C19|CYP2C9|CYP2D6,CYP2D6,Check DDI: mixed
MESH:C062047,chelidonine,4,0,CYP1A2|CYP2C19|CYP2D6|CYP3A4,"",Check DDI: ↑
MESH:D002927,Cimetidine,1,4,CYP3A4,CYP1A2|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C029010,cinnamic acid,0,4,"",CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:D002995,Clofibric Acid,4,1,CYP2C9|CYP3A4|UGT1A1|UGT2B7,UGT2B7,Check DDI: mixed
MESH:C480342,clothianidin,4,0,CYP1A2|CYP2C9|CYP3A4|CYP3A5,"",Check DDI: ↑
MESH:D003022,Clotrimazole,4,3,ABCB1|CYP2C9|CYP3A4|CYP3A5,ABCB1|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D003345,Corticosterone,4,1,CYP1A2|CYP2C9|CYP2D6|CYP3A4,CYP3A4,Check DDI: mixed
MESH:D003505,Cyclodextrins,1,4,CYP2C9,CYP1A2|CYP2C19|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D003609,Dactinomycin,4,4,ABCB1|CYP1A2|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP3A4|CYP3A5,Check DDI: mixed
MESH:C004742,daidzein,1,4,UGT1A1,ABCB1|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D003622,Dapsone,4,1,CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP2C9,Check DDI: mixed
MESH:C017180,decamethrin,4,3,ABCB1|CYP2C19|CYP2C9|CYP3A4,ABCB1|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D004051,Diethylhexyl Phthalate,3,4,ABCB1|CYP2D6|CYP3A4,CYP2D6|CYP3A4|CYP3A5|SLCO1B1,Check DDI: mixed
MESH:C012906,dihydrocapsaicin,0,4,"",CYP1A2|CYP2C19|CYP2C9|CYP2D6,Check DDI: ↓
MESH:C012621,dimemorfan,4,2,CYP2C19|CYP2C9|CYP2D6|CYP3A4,CYP2D6|CYP3A4,Check DDI: mixed
MESH:D004281,Docosahexaenoic Acids,2,4,CYP2C19|CYP2C9,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D004317,Doxorubicin,3,4,ABCB1|CYP2D6|CYP3A4,ABCB1|CYP1A2|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D000077764,Dronedarone,4,3,CYP2C19|CYP2D6|CYP3A4|CYP3A5,CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D015118,Eicosapentaenoic Acid,2,4,CYP2C19|CYP2C9,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C017435,enilconazole,3,4,CYP1A2|CYP3A4|CYP3A5,CYP2C19|CYP2C9|CYP3A4|UGT2B7,Check DDI: mixed
MESH:D004917,Erythromycin,1,4,CYP3A4,ABCB1|CYP3A4|CYP3A5|SLCO1B1,Check DDI: mixed
MESH:D005047,Etoposide,4,3,ABCB1|CYP1A2|CYP3A4|UGT1A1,ABCB1|CYP3A4|CYP3A5,Check DDI: mixed
MESH:D005054,Eugenol,4,1,CYP1A2|CYP2C9|CYP2D6|UGT1A1,CYP2D6,Check DDI: mixed
MESH:C017690,fenvalerate,4,3,CYP1A2|CYP2C19|CYP2C9|CYP3A4,ABCB1|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C082360,fipronil,4,2,CYP1A2|CYP2C9|CYP3A4|CYP3A5,CYP2C19|CYP2D6,Check DDI: mixed
MESH:C043562,flavone,3,4,ABCB1|CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D015725,Fluconazole,1,4,CYP2C19,CYP2C19|CYP2C9|CYP3A4|UGT2B7,Check DDI: mixed
MESH:D005485,Flutamide,4,1,ABCB1|CYP1A2|CYP2C19|CYP3A4,CYP3A4,Check DDI: mixed
MESH:C543009,flutriafol,4,4,CYP1A2|CYP2C19|CYP2C9|CYP3A4,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D005672,Fusidic Acid,0,4,"",ABCB1|CYP3A4|SLCO1B1|UGT1A1,Check DDI: ↓
MESH:C063170,Ginkgo biloba extract,4,3,ABCB1|CYP1A2|CYP3A4|UGT1A1,CYP1A2|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D006861,Hydrogen Peroxide,4,1,CYP1A2|CYP2C9|CYP2D6|CYP3A4,CYP1A2,Check DDI: mixed
MESH:D007099,Imipramine,1,4,CYP1A2,CYP1A2|CYP2C19|CYP3A4|SLCO1B1,Check DDI: mixed
MESH:D000077146,Irinotecan,4,4,ABCB1|CYP3A4|CYP3A5|UGT1A1,ABCB1|CYP2C9|CYP3A4|UGT1A1,Check DDI: mixed
MESH:D017964,Itraconazole,1,4,CYP3A4,ABCB1|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D007559,Ivermectin,1,4,ABCB1,ABCB1|CYP2C9|CYP2D6|CYP3A4,Check DDI: mixed
MESH:C011889,kavain,4,0,CYP1A2|CYP2C19|CYP2D6|CYP3A4,"",Check DDI: ↑
MESH:D064747,Lansoprazole,4,3,CYP1A2|CYP2C19|CYP2C9|CYP3A4,CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D000077339,Leflunomide,4,1,CYP1A2|CYP2C9|CYP3A4|UGT1A1,CYP3A4,Check DDI: mixed
MESH:C011896,lephetamine,0,4,"",CYP1A2|CYP2C19|CYP2D6|CYP3A4,Check DDI: ↓
MESH:D019787,Linoleic Acid,2,4,CYP2C19|CYP2C9,CYP1A2|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D008528,Mefenamic Acid,4,2,CYP1A2|CYP2C19|CYP2C9|CYP3A4,CYP1A2|UGT2B7,Check DDI: mixed
MESH:D008549,Melarsoprol,0,4,"",CYP2C19|CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:D008727,Methotrexate,4,4,ABCB1|CYP3A4|SLCO1B1|UGT1A1,ABCB1|CYP1A2|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D008825,Miconazole,1,4,CYP3A4,ABCB1|CYP2C19|CYP2C9|CYP3A4,Check DDI: mixed
MESH:D015735,Mifepristone,3,4,CYP1A2|CYP3A4|CYP3A5,ABCB1|CYP1A2|CYP3A4|CYP3A5,Check DDI: mixed
MESH:C518174,MK-0524,4,0,CYP2C9|CYP3A4|UGT1A1|UGT2B7,"",Check DDI: ↑
MESH:C016599,mono-(2-ethylhexyl)phthalate,4,1,CYP2C19|CYP2C9|CYP3A4|UGT2B7,CYP3A4,Check DDI: mixed
MESH:C028787,N-desmethyltamoxifen,4,3,CYP1A2|CYP2D6|CYP3A4|CYP3A5,CYP2D6|CYP3A4|CYP3A5,Check DDI: mixed
MESH:C000598690,"N-ethyl-1,2-diphenylethylamine",0,4,"",CYP1A2|CYP2C19|CYP2D6|CYP3A4,Check DDI: ↓
MESH:D009532,Nickel,0,4,"",ABCB1|CYP1A2|CYP3A4|CYP3A5,Check DDI: ↓
MESH:D018817,"N-Methyl-3,4-methylenedioxyamphetamine",2,4,CYP2D6|CYP3A4,ABCB1|CYP1A2|CYP2D6|CYP3A4,Check DDI: mixed
MESH:D009661,Nortriptyline,4,1,CYP1A2|CYP2D6|CYP3A4|CYP3A5,CYP2D6,Check DDI: mixed
MESH:C008692,nuciferine,4,2,CYP1A2|CYP2C19|CYP3A4|CYP3A5,CYP1A2|CYP2D6,Check DDI: mixed
