chem_id,chem_name,induces_n,inhibits_n,induces_genes,inhibits_genes,badge
MESH:C018855,2-tert-butylhydroquinone,3,1,CYP2C19|CYP2C9|UGT2B7,CYP2C9,Check DDI: mixed
MESH:C016392,"3,3'-diindolylmethane",3,3,ABCB1|CYP1A2|CYP3A4,ABCB1|CYP1A2|CYP3A4,Check DDI: mixed
MESH:C509288,"3',4'-dimethoxyflavone",1,3,CYP1A2,CYP1A2|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C016834,"3,5-xylenol",3,0,CYP1A2|CYP2C19|CYP2D6,"",Check DDI: ↑
MESH:C571631,3-bromomethcathinone,3,0,CYP1A2|CYP2C19|CYP3A4,"",Check DDI: ↑
MESH:C041477,3-hydroxyflavone,3,3,ABCB1|CYP3A4|CYP3A5,CYP1A2|CYP2C9|CYP3A4,Check DDI: mixed
MESH:C516284,4-cumylphenol,3,0,ABCB1|CYP3A4|UGT1A1,"",Check DDI: ↑
MESH:C012358,4-hydroxycyclophosphamide,3,0,CYP2C19|CYP2C9|CYP3A4,"",Check DDI: ↑
MESH:C487850,4'-methoxyflavone,0,3,"",CYP1A2|CYP2C9|CYP3A4,Check DDI: ↓
MESH:C044390,4-(methylsulfinyl)phenol,3,0,CYP1A2|CYP2C19|CYP2D6,"",Check DDI: ↑
MESH:C105260,4-tert-octylphenol,3,0,CYP2C19|CYP2C9|UGT2B7,"",Check DDI: ↑
MESH:C000602588,"5,4'-dihydroxy-3,6,7-trimethoxyflavone",0,3,"",CYP1A2|CYP2D6|CYP3A4,Check DDI: ↓
MESH:C544471,5-hydroxythalidomide,3,0,CYP2C19|CYP3A4|CYP3A5,"",Check DDI: ↑
MESH:C487413,5-methoxyindole,0,3,"",CYP2C9|CYP2D6|CYP3A4,Check DDI: ↓
MESH:C093726,5-methylindole,3,0,ABCB1|CYP1A2|CYP3A4,"",Check DDI: ↑
MESH:C000588958,5-(N-(4-((4-ethylbenzyl)thio)phenyl)sulfamoyl)-2-methylbenzoic acid,0,3,"",CYP2C19|CYP2C9|SLCO1B1,Check DDI: ↓
