gene_symbol,chem_id,chem_name,action_norm,action_family
AASS,MESH:D006861,Hydrogen Peroxide,affects^expression,other
AASS,MESH:D014635,Valproic Acid,affects^expression,other
AATBC,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
AATBC,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
AATF,MESH:C005445,triphenyl phosphate,affects^expression,other
AATF,MESH:C006780,bisphenol A,affects^expression,other
AATF,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
AATF,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
AATK,MESH:C005445,triphenyl phosphate,affects^expression,other
AATK,MESH:C016805,"tris(1,3-dichloro-2-propyl)phosphate",affects^expression,other
AATK,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
AATK,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
AATK,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
AATK,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
AATK,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
AATK,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABAT,MESH:C006780,bisphenol A,affects^expression,other
ABAT,MESH:C033674,benazol P,affects^expression,other
ABAT,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABAT,MESH:D001335,Vehicle Emissions,affects^expression|increases^abundance,activates
ABAT,MESH:D004317,Doxorubicin,affects^expression,other
ABAT,MESH:D004958,Estradiol,affects^expression,other
ABAT,MESH:D004997,Ethinyl Estradiol,affects^expression,other
ABAT,MESH:D016604,Aflatoxin B1,affects^expression,other
ABAT,MESH:D052638,Particulate Matter,affects^expression|increases^abundance,activates
ABCA1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCA1,MESH:C023035,"3,4,5,3',4'-pentachlorobiphenyl",affects^expression,other
ABCA1,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCA1,MESH:C060540,polyhexamethyleneguanidine,affects^expression,other
ABCA1,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCA1,MESH:D000077154,Rosiglitazone,affects^response to substance,other
ABCA1,MESH:D000077205,Pioglitazone,affects^expression,other
ABCA1,MESH:D000077340,Fluvastatin,affects^cotreatment|affects^response to substance,other
ABCA1,MESH:D001151,Arsenic,affects^response to substance,other
ABCA1,MESH:D002220,Carbamazepine,affects^expression,other
ABCA1,MESH:D002994,Clofibrate,affects^expression,other
ABCA1,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCA1,MESH:D008628,Mercury,affects^expression,other
ABCA1,MESH:D008767,Methylmercury Compounds,affects^expression,other
ABCA1,MESH:D008942,Mitoxantrone,affects^response to substance,other
ABCA1,MESH:D010100,Oxygen,affects^expression|affects^reaction,other
