gene_symbol,chem_id,chem_name,action_norm,action_family
ABCC2,MESH:D015058,1-Naphthylisothiocyanate,affects^response to substance,other
ABCC2,MESH:D016572,Cyclosporine,affects^expression,other
ABCC2,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCC2,MESH:D017239,Paclitaxel,affects^expression,other
ABCC2,MESH:D017239,Paclitaxel,affects^response to substance,other
ABCC2,MESH:D019821,Simvastatin,affects^response to substance,other
ABCC2,MESH:D052638,Particulate Matter,affects^response to substance|increases^abundance,activates
ABCC3,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCC3,MESH:C006780,bisphenol A,affects^expression,other
ABCC3,MESH:C013320,tris(2-butoxyethyl) phosphate,affects^expression,other
ABCC3,MESH:C028009,diallyl disulfide,affects^expression,other
ABCC3,MESH:C038491,allyl sulfide,affects^expression,other
ABCC3,MESH:C046943,brequinar,affects^expression,other
ABCC3,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCC3,MESH:C119536,nickel acetate,affects^expression,other
ABCC3,MESH:C510718,cambinol,affects^expression,other
ABCC3,MESH:C550547,"6-chloro-2,3,4,9-tetrahydro-1H-carbazole-1-carboxamide",affects^expression,other
ABCC3,MESH:C571256,diglycolic acid,affects^expression,other
ABCC3,MESH:D000077157,Sorafenib,affects^response to substance,other
ABCC3,MESH:D002793,Cholic Acids,affects^cotreatment|affects^expression,other
ABCC3,MESH:D002945,Cisplatin,affects^response to substance,other
ABCC3,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCC3,MESH:D008727,Methotrexate,affects^response to substance,other
ABCC3,MESH:D008727,Methotrexate,affects^expression,other
ABCC3,MESH:D008777,Methyltestosterone,affects^cotreatment|affects^expression,other
ABCC3,MESH:D014415,Tunicamycin,affects^expression,other
ABCC3,MESH:D014635,Valproic Acid,affects^expression,other
ABCC3,MESH:D016572,Cyclosporine,affects^expression,other
ABCC3,MESH:D024483,Vitamin K 3,affects^expression,other
ABCC4,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCC4,MESH:C005451,alpha-pinene,affects^cotreatment|affects^expression,other
ABCC4,MESH:C005451,alpha-pinene,affects^cotreatment|affects^expression|increases^abundance,activates
ABCC4,MESH:C008493,methylselenic acid,affects^expression,other
ABCC4,MESH:C011864,7-hydroxymethotrexate,affects^response to substance,other
ABCC4,MESH:C039175,methacrylaldehyde,affects^cotreatment|affects^expression|increases^abundance,activates
ABCC4,MESH:C039175,methacrylaldehyde,affects^cotreatment|affects^expression,other
ABCC4,MESH:D000171,Acrolein,affects^cotreatment|affects^expression|increases^abundance,activates
ABCC4,MESH:D000171,Acrolein,affects^cotreatment|affects^expression,other
ABCC4,MESH:D000393,Air Pollutants,affects^cotreatment|affects^expression|increases^abundance,activates
ABCC4,MESH:D002220,Carbamazepine,affects^expression,other
ABCC4,MESH:D004008,Diclofenac,affects^expression,other
ABCC4,MESH:D008727,Methotrexate,affects^response to substance,other
ABCC4,MESH:D010126,Ozone,affects^cotreatment|affects^expression,other
ABCC4,MESH:D010126,Ozone,affects^cotreatment|affects^expression|increases^abundance,activates
ABCC4,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABCC4,MESH:D016572,Cyclosporine,affects^expression,other
ABCC4,MESH:D055549,Volatile Organic Compounds,affects^cotreatment|affects^expression,other
ABCC5,MESH:C044887,beta-methylcholine,affects^expression,other
ABCC5,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCC5,MESH:C074702,chromium hexavalent ion,affects^expression,other
ABCC5,MESH:D000077150,Oxaliplatin,affects^response to substance,other
ABCC5,MESH:D000082,Acetaminophen,affects^expression,other
ABCC5,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCC5,MESH:D013196,Dihydrotestosterone,affects^expression,other
ABCC5,MESH:D014635,Valproic Acid,affects^expression,other
ABCC5,MESH:D014750,Vincristine,affects^expression|decreases^response to substance,inhibits
ABCC5-AS1,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCC5-AS1,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCC6,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCC6,MESH:C006780,bisphenol A,affects^expression,other
ABCC6,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCC6,MESH:D000077143,Docetaxel,affects^expression|decreases^response to substance,inhibits
ABCC6,MESH:D000077143,Docetaxel,affects^response to substance,other
ABCC6,MESH:D004785,Environmental Pollutants,affects^expression,other
ABCC6,MESH:D005472,Fluorouracil,affects^response to substance,other
ABCC6,MESH:D015127,"9,10-Dimethyl-1,2-benzanthracene",affects^response to substance,other
ABCC6,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCC6P2,MESH:C006780,bisphenol A,affects^expression,other
ABCC8,MESH:C005460,uranyl acetate,affects^expression,other
ABCC8,MESH:D002945,Cisplatin,affects^response to substance,other
ABCC8,MESH:D014501,Uranium,affects^expression,other
ABCC9,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABCC9,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABCC9,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABCD1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCD1,MESH:D014212,Tretinoin,affects^expression,other
ABCD2,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCD2,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCD3,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCD3,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCD3,MESH:C543008,bisphenol S,affects^expression,other
ABCD3,MESH:D004785,Environmental Pollutants,affects^expression,other
ABCD3,MESH:D004958,Estradiol,affects^expression,other
ABCD3,MESH:D014635,Valproic Acid,affects^expression,other
ABCD3,MESH:D019772,Topotecan,affects^response to substance,other
ABCE1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCE1,MESH:C044887,beta-methylcholine,affects^expression,other
ABCE1,MESH:D004785,Environmental Pollutants,affects^expression,other
ABCE1,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABCF1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCF1,MESH:C044887,beta-methylcholine,affects^expression,other
ABCF1,MESH:C045816,arsenic trisulfide,affects^expression,other
ABCF1,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCF1,MESH:D002220,Carbamazepine,affects^expression,other
ABCF1,MESH:D004785,Environmental Pollutants,affects^expression,other
ABCF2,MESH:C005460,uranyl acetate,affects^expression,other
ABCF2,MESH:C006780,bisphenol A,affects^expression,other
ABCF2,MESH:C017947,sodium arsenite,affects^expression,other
ABCF2,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCF2,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCF2,MESH:D014501,Uranium,affects^expression,other
ABCF2,MESH:D014635,Valproic Acid,affects^expression,other
ABCF3,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCF3,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABCF3,MESH:D004785,Environmental Pollutants,affects^expression,other
ABCF3,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ABCG1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABCG1,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABCG1,MESH:D000077143,Docetaxel,affects^response to substance,other
ABCG1,MESH:D000077209,Decitabine,affects^expression,other
ABCG1,MESH:D002945,Cisplatin,affects^expression,other
ABCG1,MESH:D014635,Valproic Acid,affects^expression,other
ABCG1,MESH:D020849,Raloxifene Hydrochloride,affects^expression,other
ABCG2,MESH:C009618,"O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate",affects^expression,other
ABCG2,MESH:C009618,"O,O-diethyl O-3,5,6-trichloro-2-pyridyl phosphate",affects^expression|affects^reaction,other
ABCG2,MESH:C017947,sodium arsenite,affects^expression,other
ABCG2,MESH:C025589,ochratoxin A,affects^response to substance,other
ABCG2,MESH:C045037,testosterone-3-carboxymethyloxime-bovine serum albumin conjugate,affects^expression,other
ABCG2,MESH:C078814,anandamide,affects^expression|affects^reaction,other
ABCG2,MESH:C457499,2-chloro-5-nitrobenzanilide,affects^cotreatment|affects^expression,other
ABCG2,MESH:C457499,2-chloro-5-nitrobenzanilide,affects^expression,other
ABCG2,MESH:C488250,oleoylethanolamide,affects^expression|affects^reaction,other
ABCG2,MESH:C498826,nilotinib,affects^response to substance,other
ABCG2,MESH:D000077146,Irinotecan,affects^metabolic processing|affects^response to substance,modifies
ABCG2,MESH:D000077146,Irinotecan,affects^response to substance,other
ABCG2,MESH:D000077209,Decitabine,affects^expression,other
ABCG2,MESH:D000077237,Arsenic Trioxide,affects^expression,other
ABCG2,MESH:D000077267,Fulvestrant,affects^response to substance,other
ABCG2,MESH:D002945,Cisplatin,affects^expression|affects^response to substance,other
ABCG2,MESH:D003520,Cyclophosphamide,affects^cotreatment|affects^response to substance,other
ABCG2,MESH:D004317,Doxorubicin,affects^response to substance,other
ABCG2,MESH:D004390,Chlorpyrifos,affects^cotreatment|affects^expression,other
ABCG2,MESH:D004958,Estradiol,affects^expression,other
ABCG2,MESH:D005472,Fluorouracil,affects^cotreatment|affects^response to substance,other
ABCG2,MESH:D005492,Folic Acid,affects^expression|affects^localization,modifies
ABCG2,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABCG2,MESH:D008070,Lipopolysaccharides,affects^expression|affects^reaction,other
ABCG2,MESH:D008070,Lipopolysaccharides,affects^expression,other
ABCG2,MESH:D008727,Methotrexate,affects^response to substance,other
ABCG2,MESH:D008748,Methylcholanthrene,affects^response to substance,other
ABCG2,MESH:D008942,Mitoxantrone,affects^response to substance,other
ABCG2,MESH:D009288,Naproxen,affects^expression,other
ABCG2,MESH:D010634,Phenobarbital,affects^expression,other
ABCG2,MESH:D010936,Plant Extracts,affects^expression|affects^reaction,other
ABCG2,MESH:D011374,Progesterone,affects^expression,other
ABCG2,MESH:D011794,Quercetin,affects^expression,other
ABCG2,MESH:D013629,Tamoxifen,affects^response to substance,other
ABCG2,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABCG2,MESH:D014635,Valproic Acid,affects^expression,other
ABCG2,MESH:D014859,Warfarin,affects^response to substance,other
ABCG2,MESH:D015251,Epirubicin,affects^cotreatment|affects^response to substance,other
ABCG2,MESH:D016572,Cyclosporine,affects^expression,other
ABCG2,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCG2,MESH:D024483,Vitamin K 3,affects^expression,other
ABCG2,MESH:D047630,Depsipeptides,affects^expression,other
ABCG4,MESH:D007854,Lead,affects^expression,other
ABCG5,MESH:D000077204,Temozolomide,affects^response to substance,other
ABCG5,MESH:D000077300,Bosentan,affects^expression,other
ABCG5,MESH:D002330,Carmustine,affects^response to substance,other
ABCG5,MESH:D002793,Cholic Acids,affects^cotreatment|affects^expression,other
ABCG5,MESH:D008777,Methyltestosterone,affects^cotreatment|affects^expression,other
ABCG5,MESH:D015058,1-Naphthylisothiocyanate,affects^cotreatment|affects^expression,other
ABCG5,MESH:D016604,Aflatoxin B1,affects^expression,other
ABCG8,MESH:D002746,Chlorpromazine,affects^cotreatment|affects^expression,other
ABCG8,MESH:D002793,Cholic Acids,affects^cotreatment|affects^expression,other
ABCG8,MESH:D004397,Fonofos,affects^response to substance,other
ABCG8,MESH:D004997,Ethinyl Estradiol,affects^cotreatment|affects^expression,other
ABCG8,MESH:D015058,1-Naphthylisothiocyanate,affects^cotreatment|affects^expression,other
ABCG8,MESH:D016604,Aflatoxin B1,affects^expression,other
ABHD10,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD10,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABHD10,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD10,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABHD10,MESH:D014635,Valproic Acid,affects^expression,other
ABHD11,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD11,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD11,MESH:D002945,Cisplatin,affects^response to substance,other
ABHD12,MESH:D014635,Valproic Acid,affects^expression,other
ABHD12B,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABHD12B,MESH:D014635,Valproic Acid,affects^expression,other
ABHD13,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD13,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABHD14A,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD14A,MESH:D000395,"Air Pollutants, Occupational",affects^expression,other
ABHD14A,MESH:D014635,Valproic Acid,affects^expression,other
ABHD14B,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD14B,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABHD14B,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABHD14B,MESH:D024483,Vitamin K 3,affects^expression,other
ABHD15,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD15,MESH:D014635,Valproic Acid,affects^expression,other
ABHD16A,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD16A,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD16A,MESH:D014635,Valproic Acid,affects^expression,other
ABHD17A,MESH:C012589,trichostatin A,affects^expression,other
ABHD17A,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD17A,MESH:D001151,Arsenic,affects^expression,other
ABHD17AP5,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABHD17AP5,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABHD17B,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD17B,MESH:C012589,trichostatin A,affects^expression,other
ABHD17B,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD17B,MESH:D014635,Valproic Acid,affects^expression,other
ABHD17C,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD17C,MESH:D014635,Valproic Acid,affects^expression,other
ABHD17C,MESH:D015123,"7,8-Dihydro-7,8-dihydroxybenzo(a)pyrene 9,10-oxide",affects^expression,other
ABHD18,MESH:D002945,Cisplatin,affects^response to substance,other
ABHD2,MESH:C004648,testosterone enanthate,affects^expression,other
ABHD2,MESH:C012589,trichostatin A,affects^expression,other
ABHD2,MESH:C017947,sodium arsenite,affects^expression,other
ABHD2,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD2,MESH:D002945,Cisplatin,affects^response to substance,other
ABHD2,MESH:D007854,Lead,affects^expression,other
ABHD2,MESH:D014635,Valproic Acid,affects^expression,other
ABHD3,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD3,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABHD3,MESH:D010634,Phenobarbital,affects^expression,other
ABHD3,MESH:D014635,Valproic Acid,affects^expression,other
ABHD3,MESH:D019327,Copper Sulfate,affects^expression,other
ABHD3,MESH:D052638,Particulate Matter,affects^expression|increases^abundance,activates
ABHD4,MESH:C004656,chloroacetaldehyde,affects^expression,other
ABHD4,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD4,MESH:C006780,bisphenol A,affects^expression,other
ABHD5,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD5,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD5,MESH:D000077209,Decitabine,affects^expression,other
ABHD5,MESH:D002945,Cisplatin,affects^expression,other
ABHD5,MESH:D010634,Phenobarbital,affects^expression,other
ABHD5,MESH:D011794,Quercetin,affects^expression,other
ABHD5,MESH:D014635,Valproic Acid,affects^expression,other
ABHD5,MESH:D020849,Raloxifene Hydrochloride,affects^expression,other
ABHD5,MESH:D024483,Vitamin K 3,affects^expression,other
ABHD6,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD6,MESH:D014635,Valproic Acid,affects^expression,other
ABHD8,MESH:C005445,triphenyl phosphate,affects^expression,other
ABHD8,MESH:C044887,beta-methylcholine,affects^expression,other
ABHD8,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABHD8,MESH:D007854,Lead,affects^expression,other
ABHD8,MESH:D020849,Raloxifene Hydrochloride,affects^response to substance,other
ABI1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABI1,MESH:C017947,sodium arsenite,affects^expression,other
ABI1,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABI1,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ABI1,MESH:D010634,Phenobarbital,affects^expression,other
ABI1,MESH:D014635,Valproic Acid,affects^expression,other
ABI2,MESH:C005445,triphenyl phosphate,affects^expression,other
ABI2,MESH:C017947,sodium arsenite,affects^expression,other
ABI3,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABI3,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABI3,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABI3BP,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABL1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABL1,MESH:C017558,nickel sulfide,affects^cotreatment|affects^expression|decreases^expression|increases^methylation,inhibits
ABL1,MESH:C044887,beta-methylcholine,affects^expression,other
ABL1,MESH:C410127,PCB 180,affects^expression,other
ABL1,MESH:D000077237,Arsenic Trioxide,affects^response to substance,other
ABL1,MESH:D000077767,Panobinostat,affects^cotreatment|affects^expression,other
ABL1,MESH:D002945,Cisplatin,affects^cotreatment|affects^expression,other
ABL1,MESH:D004317,Doxorubicin,affects^expression|affects^response to substance,other
ABL1,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABL1,MESH:D014635,Valproic Acid,affects^expression,other
ABL1,MESH:D015032,Zinc,affects^expression,other
ABL2,MESH:C005445,triphenyl phosphate,affects^expression,other
ABL2,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABL2,MESH:D001335,Vehicle Emissions,affects^expression|increases^abundance,activates
ABL2,MESH:D002220,Carbamazepine,affects^expression,other
ABL2,MESH:D004008,Diclofenac,affects^expression,other
ABL2,MESH:D010634,Phenobarbital,affects^expression,other
ABL2,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABL2,MESH:D017638,"Asbestos, Crocidolite",affects^expression,other
ABL2,MESH:D052638,Particulate Matter,affects^expression,other
ABL2,MESH:D052638,Particulate Matter,affects^expression|increases^abundance,activates
ABLIM1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABLIM1,MESH:C044887,beta-methylcholine,affects^expression,other
ABLIM1,MESH:D004317,Doxorubicin,affects^response to substance,other
ABLIM1,MESH:D004958,Estradiol,affects^expression,other
ABLIM1,MESH:D007854,Lead,affects^expression,other
ABLIM1,MESH:D014747,Vinblastine,affects^response to substance,other
ABLIM1,MESH:D016685,Mitomycin,affects^response to substance,other
ABLIM2,MESH:D007854,Lead,affects^expression,other
ABLIM2,MESH:D010634,Phenobarbital,affects^expression,other
ABLIM2,MESH:D012822,Silicon Dioxide,affects^expression,other
ABLIM3,MESH:C004648,testosterone enanthate,affects^expression,other
ABLIM3,MESH:C005445,triphenyl phosphate,affects^expression,other
ABLIM3,MESH:C006780,bisphenol A,affects^expression,other
ABLIM3,MESH:C014024,"2,4,5,2',4',5'-hexachlorobiphenyl",affects^expression,other
ABLIM3,MESH:D013629,Tamoxifen,affects^expression,other
ABLIM3,MESH:D014635,Valproic Acid,affects^expression,other
ABLIM3,MESH:D020849,Raloxifene Hydrochloride,affects^expression,other
ABR,MESH:C005445,triphenyl phosphate,affects^expression,other
ABR,MESH:C044887,beta-methylcholine,affects^expression,other
ABR,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABR,MESH:D002945,Cisplatin,affects^response to substance,other
ABR,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABR,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ABR,MESH:D014635,Valproic Acid,affects^expression,other
ABR,MESH:D024483,Vitamin K 3,affects^expression,other
ABRA,MESH:D004317,Doxorubicin,affects^expression,other
ABRACL,MESH:C013320,tris(2-butoxyethyl) phosphate,affects^expression,other
ABRACL,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABRACL,MESH:D002220,Carbamazepine,affects^expression,other
ABRACL,MESH:D011794,Quercetin,affects^expression,other
ABRACL,MESH:D014028,Tobacco Smoke Pollution,affects^expression,other
ABRACL,MESH:D016572,Cyclosporine,affects^expression,other
ABRACL,MESH:D016604,Aflatoxin B1,affects^expression,other
ABRACL,MESH:D019344,Lactic Acid,affects^expression,other
ABRAXAS1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABRAXAS1,MESH:C012589,trichostatin A,affects^expression,other
ABRAXAS2,MESH:C005445,triphenyl phosphate,affects^expression,other
ABRAXAS2,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ABT1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABT1,MESH:D007854,Lead,affects^expression,other
ABTB1,MESH:C005445,triphenyl phosphate,affects^expression,other
ABTB1,MESH:D000077209,Decitabine,affects^expression,other
ABTB1,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ABTB1,MESH:D002945,Cisplatin,affects^expression,other
ABTB1,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ABTB1,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ABTB2,MESH:C005445,triphenyl phosphate,affects^expression,other
ABTB2,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ABTB2,MESH:D004317,Doxorubicin,affects^expression,other
ABTB2,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ABTB2,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ABTB2,MESH:D010634,Phenobarbital,affects^expression,other
ABTB3,MESH:C013320,tris(2-butoxyethyl) phosphate,affects^expression,other
ABTB3,MESH:C044887,beta-methylcholine,affects^expression,other
ABTB3,MESH:D002220,Carbamazepine,affects^expression,other
ABTB3,MESH:D014635,Valproic Acid,affects^expression,other
ABTB3,MESH:D016604,Aflatoxin B1,affects^expression,other
ACAA1,MESH:C005445,triphenyl phosphate,affects^expression,other
ACAA1,MESH:C006780,bisphenol A,affects^expression,other
ACAA1,MESH:D014635,Valproic Acid,affects^expression,other
ACAA1,MESH:D016604,Aflatoxin B1,affects^expression,other
ACAA1A,MESH:C013966,dioctyl adipate,affects^response to substance|increases^expression,activates
ACAA1A,MESH:D003993,Dibutyl Phthalate,affects^response to substance|increases^expression,activates
ACAA1A,MESH:D004051,Diethylhexyl Phthalate,affects^response to substance|increases^expression,activates
ACAA2,MESH:C006780,bisphenol A,affects^expression,other
ACAA2,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ACAA2,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ACAA2,MESH:D010042,Ouabain,affects^expression,other
ACAA2,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ACACA,MESH:C005445,triphenyl phosphate,affects^expression,other
ACACA,MESH:C016599,mono-(2-ethylhexyl)phthalate,affects^expression,other
ACACA,MESH:C044887,beta-methylcholine,affects^expression,other
ACACA,MESH:C560077,trametinib,affects^expression|affects^reaction|affects^response to substance,other
ACACA,MESH:D000077209,Decitabine,affects^expression,other
ACACA,MESH:D000077484,Vemurafenib,affects^expression|affects^reaction|affects^response to substance,other
ACACA,MESH:D000077484,Vemurafenib,affects^expression|affects^response to substance,other
ACACA,MESH:D002945,Cisplatin,affects^expression,other
ACACA,MESH:D006861,Hydrogen Peroxide,affects^expression,other
ACACA,MESH:D014635,Valproic Acid,affects^expression,other
ACACA,MESH:D015215,Zidovudine,affects^expression,other
ACACA,MESH:D016604,Aflatoxin B1,affects^expression,other
ACACB,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ACACB,MESH:C082360,fipronil,affects^expression,other
ACACB,MESH:D000068698,Tenofovir,affects^expression,other
ACACB,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ACACB,MESH:D012967,Sodium Dodecyl Sulfate,affects^response to substance,other
ACACB,MESH:D014635,Valproic Acid,affects^expression,other
ACACB,MESH:D015215,Zidovudine,affects^expression,other
ACACB,MESH:D016604,Aflatoxin B1,affects^expression,other
ACAD11,MESH:D000077209,Decitabine,affects^expression,other
ACAD11,MESH:D002945,Cisplatin,affects^expression,other
ACAD11,MESH:D014635,Valproic Acid,affects^expression,other
ACAD11,MESH:D016604,Aflatoxin B1,affects^expression,other
ACAD8,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ACAD8,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ACAD9,MESH:C005445,triphenyl phosphate,affects^expression,other
ACAD9,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ACADL,MESH:D010634,Phenobarbital,affects^expression,other
ACADM,MESH:C005445,triphenyl phosphate,affects^expression,other
ACADM,MESH:C013966,dioctyl adipate,affects^response to substance|increases^expression,activates
ACADM,MESH:C044887,beta-methylcholine,affects^expression,other
ACADM,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ACADM,MESH:C074702,chromium hexavalent ion,affects^expression,other
ACADM,MESH:D004051,Diethylhexyl Phthalate,affects^response to substance|increases^expression,activates
ACADM,MESH:D005047,Etoposide,affects^response to substance,other
ACADM,MESH:D007854,Lead,affects^expression,other
ACADS,MESH:C009407,"2,5,2',5'-tetrachlorobiphenyl",affects^expression,other
ACADS,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ACADS,MESH:C410127,PCB 180,affects^expression,other
ACADSB,MESH:C005445,triphenyl phosphate,affects^expression,other
ACADSB,MESH:C006780,bisphenol A,affects^expression,other
ACADSB,MESH:C012589,trichostatin A,affects^expression,other
ACADSB,MESH:C060540,polyhexamethyleneguanidine,affects^expression,other
ACADVL,MESH:C005445,triphenyl phosphate,affects^expression,other
ACADVL,MESH:C006780,bisphenol A,affects^expression,other
ACADVL,MESH:C013966,dioctyl adipate,affects^response to substance|increases^expression,activates
ACADVL,MESH:D001629,Bezafibrate,affects^response to substance,other
ACADVL,MESH:D003993,Dibutyl Phthalate,affects^response to substance|increases^expression,activates
ACADVL,MESH:D004051,Diethylhexyl Phthalate,affects^response to substance|increases^expression,activates
ACADVL,MESH:D004317,Doxorubicin,affects^expression,other
ACADVL,MESH:D014635,Valproic Acid,affects^expression,other
ACAN,MESH:C061133,tamibarotene,affects^expression,other
ACAN,MESH:D005944,Glucosamine,affects^expression,other
ACAN,MESH:D013749,Tetrachlorodibenzodioxin,affects^expression,other
ACAP1,MESH:C005445,triphenyl phosphate,affects^expression,other
ACAP1,MESH:C039961,"S-(1,2-dichlorovinyl)cysteine",affects^response to substance|increases^expression,activates
ACAP1,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ACAP1,MESH:D008070,Lipopolysaccharides,affects^response to substance|increases^expression,activates
ACAP1,MESH:D018501,Antirheumatic Agents,affects^expression,other
ACAP2,MESH:D011078,Polychlorinated Biphenyls,affects^expression,other
ACAP3,MESH:C005445,triphenyl phosphate,affects^expression,other
ACAP3,MESH:D000393,Air Pollutants,affects^expression|increases^abundance,activates
ACAP3,MESH:D010126,Ozone,affects^expression|increases^abundance,activates
ACAT1,MESH:C027579,periodate-oxidized adenosine,affects^expression,other
ACAT1,MESH:C065087,di-n-butylphosphoric acid,affects^expression,other
ACAT1,MESH:D014635,Valproic Acid,affects^expression,other
