gene_symbol,action_family,n_full,n_strict,pruned
FBXO40,activates,4,4,0
FBXO40,inhibits,5,5,0
FBXO40,other,1,,1
FBXO41,activates,9,9,0
FBXO41,binds,1,1,0
FBXO41,inhibits,21,21,0
FBXO41,modifies,1,1,0
FBXO41,other,6,,6
FBXO42,activates,11,11,0
FBXO42,inhibits,13,13,0
FBXO42,modifies,3,3,0
FBXO42,other,4,,4
FBXO43,activates,5,5,0
FBXO43,inhibits,19,19,0
FBXO43,modifies,1,1,0
FBXO43,other,3,,3
FBXO44,activates,10,10,0
FBXO44,inhibits,7,7,0
FBXO44,modifies,1,1,0
FBXO44,other,2,,2
FBXO45,activates,18,18,0
FBXO45,inhibits,6,6,0
FBXO45,other,5,,5
FBXO46,activates,17,17,0
FBXO46,inhibits,10,10,0
FBXO46,other,2,,2
FBXO47,activates,6,4,2
FBXO47,modifies,1,1,0
FBXO48,activates,16,14,2
FBXO48,inhibits,8,8,0
FBXO48,other,3,,3
FBXO5,activates,22,22,0
FBXO5,binds,1,1,0
FBXO5,inhibits,80,80,0
FBXO5,other,12,,12
FBXO6,activates,12,12,0
FBXO6,inhibits,20,20,0
FBXO6,other,6,,6
FBXO7,activates,8,8,0
FBXO7,inhibits,18,18,0
FBXO7,other,2,,2
FBXO8,activates,22,20,2
FBXO8,inhibits,16,16,0
FBXO8,other,2,,2
FBXO9,activates,16,16,0
FBXO9,inhibits,38,38,0
FBXO9,other,6,,6
FBXW10,activates,29,27,2
FBXW10,inhibits,3,3,0
FBXW10,other,2,,2
FBXW10B,activates,25,23,2
FBXW10B,inhibits,5,5,0
FBXW11,activates,11,11,0
FBXW11,inhibits,8,8,0
FBXW11,modifies,1,1,0
FBXW11P1,inhibits,1,1,0
FBXW12,activates,6,6,0
FBXW12,inhibits,3,3,0
FBXW12,modifies,2,2,0
FBXW2,activates,7,7,0
FBXW2,inhibits,10,10,0
FBXW2,modifies,1,1,0
FBXW2,other,1,,1
FBXW4,activates,11,11,0
FBXW4,inhibits,14,14,0
FBXW4,other,3,,3
FBXW4P1,activates,5,5,0
FBXW4P1,inhibits,2,2,0
FBXW5,activates,24,22,2
FBXW5,inhibits,11,11,0
FBXW5,other,1,,1
FBXW7,activates,40,38,2
FBXW7,inhibits,27,27,0
FBXW7,modifies,1,1,0
FBXW7,other,4,,4
FBXW7-AS1,activates,3,3,0
FBXW8,activates,8,8,0
FBXW8,inhibits,12,12,0
FBXW8,modifies,2,2,0
FBXW9,activates,8,8,0
FBXW9,inhibits,10,10,0
FBXW9,modifies,1,1,0
FBXW9,other,1,,1
FCAMR,activates,3,3,0
FCAMR,inhibits,6,6,0
FCAMR,modifies,1,1,0
FCAMR,other,1,,1
FCAR,activates,14,14,0
FCAR,inhibits,11,11,0
FCAR,modifies,1,1,0
FCAR,other,2,,2
FCER1A,activates,7,5,2
FCER1A,inhibits,14,14,0
FCER1A,modifies,2,2,0
FCER1A,other,2,,2
FCER1G,activates,14,12,2
FCER1G,inhibits,19,19,0
FCER1G,other,7,,7
FCER2,activates,12,12,0
FCER2,inhibits,12,12,0
FCER2,modifies,2,2,0
FCER2,other,2,,2
FCF1,activates,9,9,0
FCF1,binds,1,1,0
FCF1,inhibits,11,11,0
FCF1,modifies,1,1,0
FCF1,other,3,,3
FCGBP,activates,23,21,2
FCGBP,inhibits,24,24,0
FCGBP,other,5,,5
FCGR1A,activates,11,9,2
FCGR1A,inhibits,20,20,0
FCGR1A,modifies,1,1,0
FCGR1A,other,4,,4
FCGR1BP,activates,5,5,0
FCGR1BP,inhibits,5,5,0
FCGR1BP,other,2,,2
FCGR1CP,activates,3,3,0
FCGR1CP,inhibits,3,3,0
FCGR2A,activates,19,19,0
FCGR2A,binds,1,1,0
FCGR2A,inhibits,11,11,0
FCGR2A,other,3,,3
FCGR2B,activates,11,9,2
FCGR2B,inhibits,12,12,0
FCGR2B,other,3,,3
FCGR2C,activates,8,8,0
FCGR2C,inhibits,5,5,0
FCGR3,binds,5,5,0
FCGR3A,activates,13,11,2
FCGR3A,inhibits,18,18,0
FCGR3B,activates,7,7,0
FCGR3B,inhibits,7,7,0
FCGR3B,modifies,1,1,0
FCGR3B,other,2,,2
FCGRT,activates,25,20,5
FCGRT,inhibits,26,26,0
FCGRT,modifies,2,2,0
FCGRT,other,8,,8
FCHO1,activates,13,11,2
FCHO1,inhibits,11,11,0
FCHO1,modifies,2,2,0
FCHO1,other,3,,3
FCHO2,activates,9,9,0
FCHO2,inhibits,16,16,0
FCHO2,modifies,4,4,0
FCHO2,other,3,,3
FCHSD1,activates,15,13,2
FCHSD1,inhibits,7,7,0
FCHSD1,modifies,1,1,0
FCHSD1,other,3,,3
FCHSD2,activates,11,11,0
FCHSD2,inhibits,36,36,0
FCHSD2,modifies,3,3,0
FCHSD2,other,2,,2
FCMR,activates,30,30,0
FCMR,inhibits,11,11,0
FCMR,modifies,1,1,0
FCMR,other,5,,5
FCN1,activates,8,8,0
FCN1,binds,1,1,0
FCN1,inhibits,9,9,0
FCN1,modifies,1,1,0
FCN1,other,1,,1
FCN2,activates,12,12,0
FCN2,inhibits,6,6,0
FCN3,activates,11,11,0
FCN3,binds,2,2,0
FCN3,inhibits,8,8,0
FCN3,other,2,,2
FCRL1,activates,2,2,0
FCRL1,inhibits,1,1,0
FCRL1,other,2,,2
FCRL2,activates,7,7,0
FCRL2,inhibits,7,7,0
FCRL2,other,2,,2
FCRL3,activates,5,5,0
FCRL3,inhibits,6,6,0
FCRL3,modifies,1,1,0
FCRL3,other,2,,2
FCRL4,activates,4,4,0
FCRL4,inhibits,3,3,0
FCRL4,other,1,,1
FCRL5,activates,4,4,0
FCRL5,inhibits,2,2,0
FCRL5,modifies,1,1,0
FCRL5,other,2,,2
FCRL6,activates,5,3,2
FCRL6,inhibits,6,6,0
FCRL6,other,3,,3
FCRLA,activates,14,14,0
FCRLA,inhibits,12,12,0
FCRLA,modifies,1,1,0
FCRLA,other,1,,1
FCRLB,activates,14,14,0
FCRLB,inhibits,15,15,0
FCRLB,modifies,3,3,0
FCRLB,other,3,,3
FCSK,activates,3,3,0
FCSK,inhibits,10,10,0
FCSK,modifies,1,1,0
FCSK,other,4,,4
FDCSP,activates,2,2,0
FDCSP,inhibits,3,3,0
FDFT1,activates,64,59,5
FDFT1,inhibits,90,90,0
FDFT1,modifies,6,1,5
FDFT1,other,16,,16
FDPS,activates,48,46,2
FDPS,binds,2,2,0
FDPS,inhibits,76,76,0
FDPS,modifies,1,1,0
FDPS,other,11,,11
FDPSP2,activates,2,2,0
FDPSP2,inhibits,7,7,0
FDPSP8,activates,1,1,0
FDX1,activates,21,21,0
FDX1,inhibits,19,19,0
FDX1,other,3,,3
FDX2,activates,11,11,0
FDX2,inhibits,6,6,0
FDX2,modifies,1,1,0
FDXACB1,activates,6,6,0
FDXACB1,inhibits,14,14,0
FDXACB1,other,2,,2
FDXR,activates,68,68,0
FDXR,inhibits,31,31,0
FDXR,modifies,1,1,0
FDXR,other,7,,7
FECH,activates,59,57,2
FECH,inhibits,44,44,0
FECH,modifies,1,1,0
FECH,other,3,,3
FEM1A,activates,18,18,0
FEM1A,inhibits,5,5,0
FEM1A,modifies,1,1,0
FEM1A,other,3,,3
FEM1AP2,activates,1,1,0
FEM1B,activates,14,14,0
FEM1B,inhibits,10,10,0
FEM1B,modifies,1,1,0
FEM1B,other,7,,7
FEM1C,activates,47,47,0
FEM1C,inhibits,13,13,0
FEM1C,modifies,1,1,0
FEM1C,other,5,,5
FEN1,activates,37,37,0
FEN1,binds,1,1,0
FEN1,inhibits,92,92,0
FEN1,modifies,1,1,0
FEN1,other,15,,15
FENDRR,activates,7,7,0
FENDRR,inhibits,4,4,0
FENDRR,other,2,,2
FER,activates,24,24,0
FER,inhibits,21,21,0
FER,modifies,3,3,0
FER,other,6,,6
FER1L4,activates,11,11,0
FER1L4,inhibits,22,22,0
FER1L4,modifies,1,1,0
FER1L4,other,2,,2
FER1L5,activates,3,3,0
FER1L5,inhibits,4,4,0
FER1L5,modifies,1,1,0
FER1L6,activates,7,7,0
FER1L6,inhibits,8,8,0
FER1L6,modifies,2,2,0
FER1L6,other,1,,1
FER1L6-AS1,modifies,1,1,0
FER1L6-AS2,activates,1,1,0
FER1L6-AS2,inhibits,2,2,0
FERD3L,activates,2,2,0
FERD3L,binds,1,1,0
FERD3L,inhibits,7,7,0
FERMT1,activates,51,49,2
FERMT1,inhibits,43,43,0
FERMT1,modifies,2,2,0
FERMT1,other,4,,4
FERMT2,activates,49,46,3
FERMT2,inhibits,35,35,0
FERMT2,modifies,2,2,0
FERMT2,other,8,,8
FERMT3,activates,16,16,0
FERMT3,inhibits,14,14,0
FERMT3,modifies,2,2,0
FERMT3,other,3,,3
FERRY3,activates,18,18,0
FERRY3,inhibits,17,17,0
FERRY3,other,1,,1
FES,activates,17,15,2
FES,inhibits,11,11,0
FES,modifies,1,1,0
FES,other,3,,3
FETUB,activates,11,11,0
FETUB,inhibits,24,24,0
FETUB,modifies,1,1,0
FETUB,other,7,,7
FEV,activates,3,3,0
FEV,inhibits,4,4,0
FEV,modifies,2,2,0
FEZ1,activates,45,45,0
FEZ1,inhibits,36,36,0
FEZ1,modifies,2,2,0
FEZ1,other,6,,6
FEZ2,activates,25,23,2
FEZ2,inhibits,21,21,0
FEZ2,modifies,1,1,0
FEZ2,other,3,,3
FEZF1,activates,3,3,0
FEZF1,inhibits,6,6,0
FEZF2,activates,7,7,0
FEZF2,inhibits,28,28,0
FEZF2,modifies,1,1,0
FEZF2,other,1,,1
FFAR1,activates,9,9,0
FFAR1,binds,1,1,0
FFAR1,inhibits,4,4,0
FFAR1,modifies,1,1,0
FFAR2,activates,7,7,0
FFAR2,binds,1,1,0
FFAR2,inhibits,10,10,0
FFAR2,modifies,1,1,0
FFAR2,other,2,,2
FFAR3,activates,7,7,0
FFAR3,inhibits,4,4,0
FFAR3,modifies,1,1,0
FFAR4,activates,7,7,0
FFAR4,inhibits,6,6,0
FFAR4,modifies,1,1,0
FGA,activates,24,24,0
FGA,binds,2,2,0
FGA,inhibits,60,60,0
FGA,modifies,2,2,0
FGA,other,10,,10
FGB,activates,40,40,0
FGB,inhibits,54,54,0
FGB,other,4,,4
FGD1,activates,7,7,0
FGD1,inhibits,11,11,0
FGD1,modifies,2,2,0
FGD1,other,2,,2
FGD2,activates,11,9,2
FGD2,inhibits,6,6,0
FGD2,modifies,1,1,0
FGD2,other,2,,2
FGD3,activates,28,24,4
FGD3,inhibits,24,24,0
FGD3,modifies,1,1,0
FGD3,other,4,,4
FGD4,activates,44,42,2
FGD4,inhibits,45,45,0
FGD4,modifies,2,2,0
FGD4,other,3,,3
FGD5,activates,22,20,2
FGD5,inhibits,16,16,0
FGD5,modifies,1,1,0
FGD5,other,3,,3
FGD5-AS1,activates,2,2,0
FGD5-AS1,inhibits,10,10,0
FGD5-AS1,other,3,,3
FGD5P1,activates,1,1,0
FGD6,activates,23,22,1
FGD6,inhibits,25,25,0
FGD6,modifies,1,1,0
FGD6,other,5,,5
FGF,activates,2,2,0
FGF,inhibits,1,1,0
FGF1,activates,50,50,0
FGF1,binds,3,3,0
FGF1,inhibits,55,55,0
FGF1,modifies,5,5,0
FGF10,activates,15,15,0
FGF10,binds,3,3,0
FGF10,inhibits,17,17,0
FGF10,modifies,1,1,0
FGF10-AS1,activates,5,3,2
FGF10-AS1,inhibits,1,1,0
FGF11,activates,15,15,0
FGF11,inhibits,14,14,0
FGF11,modifies,1,1,0
FGF11,other,1,,1
FGF12,activates,17,17,0
FGF12,inhibits,25,25,0
FGF12,modifies,4,4,0
FGF12,other,3,,3
FGF12-AS1,activates,1,1,0
FGF13,activates,120,120,0
FGF13,binds,9,7,2
FGF13,inhibits,201,201,0
FGF13,modifies,4,4,0
FGF13,other,17,,17
FGF13-AS1,inhibits,7,7,0
FGF14,activates,7,7,0
FGF14,inhibits,17,17,0
FGF14,modifies,2,2,0
FGF14,other,3,,3
FGF14-AS2,activates,6,6,0
FGF14-AS2,inhibits,13,13,0
FGF14-AS2,other,2,,2
FGF16,activates,3,3,0
FGF16,inhibits,4,4,0
FGF16,modifies,1,1,0
FGF16,other,3,,3
FGF17,activates,9,9,0
FGF17,inhibits,5,5,0
FGF17,modifies,1,1,0
FGF17,other,2,,2
FGF18,activates,45,43,2
FGF18,binds,1,1,0
FGF18,inhibits,16,16,0
FGF18,modifies,1,1,0
FGF18,other,8,,8
FGF19,activates,46,46,0
FGF19,binds,1,1,0
FGF19,inhibits,13,13,0
FGF19,modifies,1,,1
FGF19,other,2,,2
FGF2,activates,104,104,0
FGF2,binds,9,7,2
FGF2,inhibits,182,182,0
FGF2,modifies,4,4,0
FGF2,other,16,,16
FGF20,activates,11,11,0
FGF20,inhibits,5,5,0
FGF21,activates,40,40,0
FGF21,inhibits,34,34,0
FGF21,modifies,1,1,0
FGF21,other,2,,2
FGF22,activates,8,8,0
FGF22,inhibits,4,4,0
FGF23,activates,13,13,0
FGF23,inhibits,19,19,0
FGF23,modifies,13,13,0
FGF23,other,4,,4
FGF3,activates,6,6,0
FGF3,inhibits,3,3,0
FGF3,modifies,1,1,0
FGF4,activates,18,18,0
FGF4,binds,1,1,0
FGF4,inhibits,8,8,0
FGF4,modifies,1,1,0
FGF4,other,2,,2
FGF5,activates,24,24,0
FGF5,inhibits,19,19,0
FGF5,modifies,3,3,0
FGF5,other,3,,3
FGF6,activates,13,13,0
FGF6,binds,1,1,0
FGF6,inhibits,6,6,0
FGF6,modifies,1,1,0
FGF6,other,1,,1
FGF7,activates,40,40,0
FGF7,binds,3,3,0
FGF7,inhibits,43,43,0
FGF7,modifies,1,1,0
FGF7,other,2,,2
FGF7P3,activates,2,2,0
FGF7P3,inhibits,3,3,0
FGF7P6,activates,7,7,0
FGF7P6,inhibits,6,6,0
FGF7P6,other,1,,1
FGF8,activates,24,24,0
FGF8,binds,1,1,0
FGF8,inhibits,27,27,0
FGF8,other,3,,3
FGF9,activates,48,46,2
FGF9,inhibits,64,64,0
FGF9,modifies,3,3,0
FGF9,other,3,,3
FGFBP1,activates,22,22,0
FGFBP1,inhibits,31,31,0
FGFBP1,modifies,2,2,0
FGFBP1,other,2,,2
FGFBP2,activates,8,8,0
FGFBP2,inhibits,4,4,0
FGFBP2,modifies,1,1,0
FGFBP2,other,1,,1
FGFBP3,activates,26,26,0
FGFBP3,inhibits,14,14,0
FGFBP3,modifies,1,1,0
FGFBP3,other,2,,2
FGFR,activates,1,1,0
FGFR1,activates,72,61,11
FGFR1,binds,6,4,2
FGFR1,inhibits,134,129,5
FGFR1,modifies,20,2,18
FGFR1,other,25,,25
FGFR1OP2,activates,27,27,0
FGFR1OP2,inhibits,16,16,0
FGFR1OP2,modifies,2,2,0
FGFR1OP2,other,5,,5
FGFR2,activates,37,37,0
FGFR2,binds,6,6,0
FGFR2,inhibits,75,75,0
FGFR2,modifies,1,1,0
FGFR2,other,8,,8
FGFR3,activates,53,53,0
FGFR3,binds,1,1,0
FGFR3,inhibits,75,75,0
FGFR3,modifies,3,3,0
FGFR3,other,9,,9
FGFR3P6,activates,1,1,0
FGFR4,activates,16,16,0
FGFR4,binds,3,3,0
FGFR4,inhibits,40,40,0
FGFR4,modifies,2,2,0
FGFR4,other,5,,5
FGFRL1,activates,27,27,0
FGFRL1,inhibits,25,25,0
FGFRL1,modifies,2,2,0
FGG,activates,38,38,0
FGG,inhibits,44,44,0
FGG,other,11,,11
FGGY,activates,18,18,0
FGGY,inhibits,24,24,0
FGGY,modifies,1,1,0
FGGY,other,4,,4
FGL1,activates,19,17,2
FGL1,binds,1,1,0
FGL1,inhibits,29,29,0
FGL1,other,3,,3
FGL2,activates,17,15,2
FGL2,inhibits,23,23,0
FGL2,other,2,,2
FGR,activates,25,25,0
FGR,binds,1,1,0
FGR,inhibits,18,18,0
FGR,modifies,1,1,0
FGR,other,1,,1
FH,activates,32,32,0
FH,binds,1,1,0
FH,inhibits,48,48,0
FH,other,10,,10
FHAD1,activates,15,15,0
FHAD1,inhibits,8,8,0
FHAD1,modifies,2,2,0
FHAD1,other,1,,1
FHAD1-AS1,activates,3,3,0
FHDC1,activates,19,17,2
FHDC1,inhibits,18,18,0
FHDC1,modifies,1,1,0
FHDC1,other,4,,4
FHIP1A,activates,10,10,0
FHIP1A,inhibits,20,20,0
FHIP1A,modifies,2,2,0
FHIP1A,other,2,,2
FHIP1A-DT,inhibits,1,1,0
FHIP1B,activates,7,5,2
FHIP1B,inhibits,10,10,0
FHIP1B,modifies,1,1,0
FHIP1B,other,2,,2
FHIP2A,activates,12,12,0
FHIP2A,inhibits,12,12,0
FHIP2A,other,3,,3
FHIP2B,activates,7,7,0
FHIP2B,inhibits,11,11,0
FHIP2B,modifies,1,1,0
FHIP2B,other,1,,1
FHIT,activates,16,16,0
FHIT,inhibits,34,34,0
FHIT,modifies,6,5,1
FHIT,other,10,,10
FHL1,activates,35,35,0
FHL1,inhibits,44,44,0
FHL1,modifies,3,3,0
FHL1,other,9,,9
FHL1P1,inhibits,3,3,0
FHL2,activates,92,92,0
FHL2,inhibits,38,38,0
FHL2,modifies,2,2,0
FHL2,other,23,,23
FHL3,activates,31,31,0
FHL3,inhibits,8,8,0
FHL3,modifies,1,1,0
FHL3,other,2,,2
FHL5,activates,1,1,0
FHL5,inhibits,6,6,0
FHOD1,activates,18,18,0
FHOD1,inhibits,34,34,0
FHOD1,modifies,3,3,0
FHOD1,other,4,,4
FHOD3,activates,19,17,2
FHOD3,inhibits,44,44,0
FHOD3,modifies,11,11,0
FHOD3,other,1,,1
FIBCD1,activates,12,12,0
FIBCD1,inhibits,17,17,0
FIBCD1,modifies,1,1,0
FIBCD1,other,2,,2
FIBH,activates,1,1,0
FIBH,inhibits,2,2,0
FIBIN,activates,27,27,0
FIBIN,inhibits,18,18,0
FIBIN,modifies,1,1,0
FIBIN,other,1,,1
FIB-L,activates,1,1,0
FIB-L,inhibits,2,2,0
FIBP,activates,9,9,0
FIBP,inhibits,23,23,0
FIBP,other,5,,5
FICD,activates,30,30,0
FICD,inhibits,6,6,0
FICD,modifies,1,1,0
FICD,other,2,,2
FIG4,activates,10,10,0
FIG4,inhibits,38,38,0
FIG4,modifies,1,1,0
FIG4,other,4,,4
FIGLA,activates,2,2,0
FIGLA,inhibits,2,2,0
FIGLA,modifies,1,1,0
FIGN,activates,18,16,2
FIGN,inhibits,31,31,0
FIGN,modifies,1,1,0
FIGN,other,4,,4
FIGNL1,activates,23,21,2
FIGNL1,inhibits,36,36,0
FIGNL1,other,5,,5
FIGNL2,activates,11,10,1
FIGNL2,inhibits,3,3,0
FIGNL2,other,1,,1
FILIP1,activates,14,12,2
FILIP1,inhibits,33,33,0
FILIP1,modifies,1,1,0
FILIP1,other,3,,3
FILIP1L,activates,50,50,0
FILIP1L,inhibits,41,41,0
FILIP1L,modifies,1,1,0
FILIP1L,other,5,,5
FILNC1,inhibits,1,1,0
FILNC1,modifies,1,1,0
FIP1L1,activates,15,15,0
FIP1L1,binds,1,1,0
FIP1L1,inhibits,20,20,0
FIP1L1,modifies,4,4,0
FIP1L1,other,5,,5
FIRRE,inhibits,4,4,0
FIRRE,modifies,1,1,0
FIRRM,activates,23,23,0
FIRRM,inhibits,35,35,0
FIRRM,other,3,,3
FIS1,activates,32,32,0
FIS1,inhibits,67,67,0
FIS1,other,7,,7
FITM1,activates,7,7,0
FITM1,inhibits,10,10,0
FITM1,other,1,,1
FITM2,activates,12,12,0
FITM2,inhibits,23,23,0
FITM2,other,2,,2
FIZ1,activates,6,6,0
FIZ1,inhibits,5,5,0
FIZ1,other,1,,1
FJX1,activates,18,18,0
FJX1,inhibits,72,72,0
FJX1,modifies,1,1,0
FJX1,other,4,,4
FKBP10,activates,32,32,0
FKBP10,inhibits,20,20,0
FKBP10,other,2,,2
FKBP11,activates,29,29,0
FKBP11,inhibits,12,12,0
FKBP11,modifies,2,1,1
FKBP11,other,3,,3
FKBP14,activates,35,32,3
FKBP14,inhibits,23,23,0
FKBP14,other,2,,2
FKBP15,activates,14,14,0
FKBP15,inhibits,14,14,0
FKBP15,modifies,2,2,0
FKBP15,other,2,,2
FKBP1A,activates,40,40,0
FKBP1A,binds,2,2,0
FKBP1A,inhibits,41,41,0
FKBP1A,modifies,1,1,0
FKBP1A,other,8,,8
FKBP1AP1,inhibits,1,1,0
FKBP1A-SDCBP2,activates,2,2,0
FKBP1B,activates,34,32,2
FKBP1B,binds,1,1,0
FKBP1B,inhibits,37,37,0
FKBP1B,modifies,1,1,0
FKBP1B,other,8,,8
FKBP1BP1,activates,3,1,2
FKBP1C,activates,4,4,0
FKBP1C,inhibits,7,7,0
FKBP1C,other,2,,2
FKBP2,activates,23,23,0
FKBP2,binds,1,1,0
FKBP2,inhibits,11,11,0
FKBP2,modifies,1,1,0
FKBP2,other,4,,4
FKBP3,activates,15,13,2
FKBP3,binds,1,1,0
FKBP3,inhibits,22,22,0
FKBP3,other,4,,4
FKBP4,activates,72,69,3
FKBP4,binds,1,1,0
FKBP4,inhibits,35,35,0
FKBP4,modifies,1,1,0
FKBP4,other,11,,11
FKBP5,activates,59,57,2
FKBP5,binds,1,1,0
FKBP5,inhibits,102,101,1
FKBP5,modifies,1,1,0
FKBP5,other,13,,13
FKBP6,activates,15,15,0
FKBP6,inhibits,2,2,0
FKBP6P2,activates,1,1,0
FKBP7,activates,18,18,0
FKBP7,inhibits,20,20,0
FKBP7,other,1,,1
FKBP8,activates,19,19,0
FKBP8,binds,1,1,0
FKBP8,inhibits,30,30,0
FKBP8,other,2,,2
FKBP9,activates,23,21,2
FKBP9,inhibits,19,19,0
FKBP9,modifies,1,1,0
FKBP9,other,2,,2
FKBP9P1,activates,10,10,0
FKBP9P1,inhibits,1,1,0
FKBP9P1,other,1,,1
FKBPL,activates,17,17,0
FKBPL,inhibits,11,11,0
FKBPL,modifies,2,2,0
FKBPL,other,2,,2
FKRP,activates,26,26,0
FKRP,inhibits,11,11,0
FKRP,other,4,,4
FKSG29,activates,3,3,0
FKSG49,activates,3,3,0
FKSG49,other,2,,2
FKTN,activates,14,10,4
FKTN,inhibits,30,30,0
FKTN,other,5,,5
FLACC1,activates,7,7,0
FLACC1,inhibits,8,8,0
FLACC1,other,2,,2
FLAD1,activates,25,25,0
FLAD1,inhibits,18,18,0
FLAD1,modifies,1,1,0
FLAD1,other,2,,2
FLCN,activates,51,51,0
FLCN,inhibits,20,20,0
FLCN,modifies,1,1,0
FLCN,other,5,,5
FLG,activates,33,27,6
FLG,inhibits,60,55,5
FLG,modifies,18,,18
FLG,other,10,,10
FLG2,activates,7,7,0
FLG2,inhibits,11,11,0
FLG2,modifies,1,1,0
FLI1,activates,33,31,2
FLI1,inhibits,15,15,0
FLI1,modifies,4,4,0
FLI1,other,4,,4
FLII,activates,36,36,0
FLII,inhibits,28,28,0
FLII,modifies,1,1,0
FLII,other,5,,5
FLNA,activates,75,75,0
FLNA,binds,3,3,0
FLNA,inhibits,43,43,0
FLNA,modifies,5,5,0
FLNA,other,7,,7
FLNB,activates,57,57,0
FLNB,binds,2,2,0
FLNB,inhibits,43,43,0
FLNB,modifies,6,6,0
FLNB,other,10,,10
FLNB-AS1,activates,2,2,0
FLNB-AS1,inhibits,4,4,0
FLNC,activates,69,67,2
FLNC,inhibits,37,37,0
FLNC,modifies,3,3,0
FLNC,other,7,,7
FLNC-AS1,activates,8,6,2
FLOT1,activates,35,35,0
FLOT1,inhibits,19,19,0
FLOT1,modifies,3,3,0
FLOT1,other,5,,5
FLOT2,activates,35,35,0
FLOT2,inhibits,53,53,0
FLOT2,modifies,2,2,0
FLOT2,other,3,,3
FLRT1,activates,12,12,0
FLRT1,inhibits,6,6,0
FLRT1,other,4,,4
FLRT2,activates,40,37,3
FLRT2,inhibits,42,42,0
FLRT2,modifies,2,2,0
FLRT2,other,9,,9
FLRT2-AS1,inhibits,1,1,0
FLRT3,activates,32,32,0
FLRT3,binds,1,1,0
FLRT3,inhibits,45,45,0
FLRT3,other,8,,8
FLT1,activates,92,87,5
FLT1,binds,2,2,0
FLT1,inhibits,105,105,0
FLT1,modifies,3,3,0
FLT1,other,3,,3
FLT3,activates,26,26,0
FLT3,inhibits,71,70,1
FLT3,modifies,1,1,0
FLT3,other,3,,3
FLT3LG,activates,22,22,0
FLT3LG,inhibits,23,23,0
FLT3LG,modifies,1,1,0
FLT4,activates,14,14,0
FLT4,inhibits,33,33,0
FLT4,modifies,3,3,0
FLT4,other,1,,1
FLVCR1,activates,10,10,0
FLVCR1,inhibits,19,19,0
FLVCR1,modifies,1,1,0
FLVCR1,other,2,,2
FLVCR1-DT,activates,8,8,0
FLVCR1-DT,inhibits,10,10,0
FLVCR1-DT,other,1,,1
FLVCR2,activates,29,27,2
FLVCR2,inhibits,25,25,0
FLVCR2,modifies,1,1,0
FLVCR2,other,3,,3
FLVCR2-AS1,activates,1,1,0
FLYWCH1,activates,22,22,0
FLYWCH1,inhibits,17,17,0
FLYWCH1,modifies,1,1,0
FLYWCH1,other,1,,1
FLYWCH2,activates,5,5,0
FLYWCH2,binds,1,1,0
FLYWCH2,inhibits,11,11,0
FLYWCH2,other,1,,1
FMC1,activates,8,8,0
FMC1,inhibits,21,21,0
FMC1,modifies,1,1,0
FMC1,other,2,,2
FMC1-LUC7L2,activates,2,2,0
FMC1-LUC7L2,inhibits,1,1,0
FMN1,activates,28,26,2
FMN1,inhibits,17,17,0
FMN1,modifies,3,3,0
FMN1,other,3,,3
FMN2,activates,16,16,0
FMN2,inhibits,27,27,0
FMN2,modifies,5,5,0
FMN2,other,3,,3
FMNL1,activates,15,13,2
FMNL1,inhibits,11,11,0
FMNL1,other,3,,3
FMNL1-AS1,inhibits,1,1,0
FMNL1-DT,activates,1,1,0
FMNL2,activates,24,24,0
FMNL2,inhibits,35,35,0
FMNL2,modifies,3,3,0
FMNL2,other,3,,3
FMNL3,activates,15,13,2
FMNL3,inhibits,8,8,0
FMNL3,modifies,1,1,0
FMNL3,other,3,,3
FMO,activates,1,1,0
FMO1,activates,38,38,0
FMO1,inhibits,40,40,0
FMO1,other,1,,1
FMO2,activates,12,12,0
FMO2,inhibits,26,26,0
FMO2,other,3,,3
FMO3,activates,34,34,0
FMO3,inhibits,31,31,0
FMO3,modifies,7,7,0
FMO3,other,1,,1
FMO4,activates,30,28,2
FMO4,inhibits,39,39,0
FMO4,modifies,2,2,0
FMO4,other,4,,4
FMO5,activates,16,16,0
FMO5,inhibits,57,57,0
FMO5,other,11,,11
FMO6P,activates,2,2,0
FMO6P,inhibits,1,1,0
FMO6P,modifies,2,2,0
FMO9P,inhibits,1,1,0
FMO9P,modifies,1,1,0
FMOD,activates,22,22,0
FMOD,inhibits,16,16,0
FMOD,other,6,,6
FMR1,activates,24,24,0
FMR1,binds,1,1,0
FMR1,inhibits,39,39,0
FMR1,modifies,2,2,0
FMR1,other,1,,1
FMR1-AS1,activates,2,2,0
FMR1-AS1,inhibits,2,2,0
FMR1NB,activates,5,5,0
FMR1NB,inhibits,1,1,0
FMR1NB,other,1,,1
FN1,activates,172,163,9
FN1,binds,6,6,0
FN1,inhibits,309,309,0
FN1,modifies,4,4,0
FN1,other,25,,25
FN3K,activates,10,8,2
FN3K,inhibits,19,19,0
FN3KRP,activates,32,32,0
FN3KRP,inhibits,12,12,0
FN3KRP,modifies,1,1,0
FN3KRP,other,3,,3
FNBP1,activates,26,24,2
FNBP1,inhibits,32,32,0
FNBP1,modifies,1,1,0
FNBP1,other,10,,10
FNBP1L,activates,35,35,0
FNBP1L,inhibits,36,36,0
FNBP1L,modifies,2,2,0
FNBP1L,other,4,,4
FNBP1P1,inhibits,2,2,0
FNBP4,activates,24,24,0
FNBP4,binds,1,1,0
FNBP4,inhibits,25,25,0
