gene_symbol,action_family,n_full,n_strict,pruned
ABCC1,other,39,,39
ABCC10,activates,13,13,0
ABCC10,inhibits,23,23,0
ABCC10,other,2,,2
ABCC11,activates,17,17,0
ABCC11,inhibits,20,20,0
ABCC11,modifies,1,1,0
ABCC11,other,2,,2
ABCC12,activates,5,5,0
ABCC12,inhibits,2,2,0
ABCC12,other,1,,1
ABCC13,activates,5,5,0
ABCC13,inhibits,5,5,0
ABCC2,activates,240,236,4
ABCC2,binds,2,2,0
ABCC2,inhibits,265,265,0
ABCC2,modifies,57,55,2
ABCC2,other,28,,28
ABCC3,activates,189,189,0
ABCC3,binds,1,1,0
ABCC3,inhibits,119,119,0
ABCC3,modifies,5,5,0
ABCC3,other,22,,22
ABCC4,activates,132,127,5
ABCC4,binds,4,4,0
ABCC4,inhibits,156,156,0
ABCC4,modifies,16,16,0
ABCC4,other,13,,13
ABCC5,activates,45,45,0
ABCC5,binds,1,1,0
ABCC5,inhibits,88,87,1
ABCC5,modifies,2,2,0
ABCC5,other,8,,8
ABCC5-AS1,activates,2,,2
ABCC6,activates,16,16,0
ABCC6,binds,1,1,0
ABCC6,inhibits,44,43,1
ABCC6,modifies,4,4,0
ABCC6,other,8,,8
ABCC6P1,activates,5,5,0
ABCC6P1,inhibits,13,13,0
ABCC6P1,modifies,1,1,0
ABCC6P2,activates,1,1,0
ABCC6P2,inhibits,6,6,0
ABCC6P2,other,1,,1
ABCC8,activates,14,14,0
ABCC8,inhibits,17,17,0
ABCC8,modifies,3,3,0
ABCC8,other,3,,3
ABCC9,activates,20,18,2
ABCC9,binds,1,1,0
ABCC9,inhibits,26,26,0
ABCC9,other,1,,1
ABCD1,activates,25,25,0
ABCD1,binds,1,1,0
ABCD1,inhibits,32,32,0
ABCD1,modifies,1,1,0
ABCD1,other,2,,2
ABCD2,activates,11,11,0
ABCD2,inhibits,21,21,0
ABCD2,other,2,,2
ABCD3,activates,33,33,0
ABCD3,binds,1,1,0
ABCD3,inhibits,39,39,0
ABCD3,other,7,,7
ABCD4,activates,4,4,0
ABCD4,inhibits,17,17,0
ABCD4,modifies,1,1,0
ABCE1,activates,33,33,0
ABCE1,binds,1,1,0
ABCE1,inhibits,42,42,0
ABCE1,other,4,,4
ABCF1,activates,18,18,0
ABCF1,binds,1,1,0
ABCF1,inhibits,25,25,0
ABCF1,modifies,3,3,0
ABCF1,other,6,,6
ABCF2,activates,21,21,0
ABCF2,binds,1,1,0
ABCF2,inhibits,17,17,0
ABCF2,modifies,1,1,0
ABCF2,other,7,,7
ABCF3,activates,15,13,2
ABCF3,binds,1,1,0
ABCF3,inhibits,6,6,0
ABCF3,modifies,1,1,0
ABCF3,other,2,,2
ABCG1,activates,72,72,0
ABCG1,inhibits,69,69,0
ABCG1,modifies,3,3,0
ABCG1,other,7,,7
ABCG2,activates,243,243,0
ABCG2,binds,4,4,0
ABCG2,inhibits,391,391,0
ABCG2,modifies,43,41,2
ABCG2,other,40,,40
ABCG4,activates,18,18,0
ABCG4,inhibits,7,7,0
ABCG4,modifies,1,1,0
ABCG4,other,1,,1
ABCG5,activates,12,12,0
ABCG5,inhibits,58,58,0
ABCG5,modifies,5,5,0
ABCG5,other,7,,7
ABCG8,activates,12,12,0
ABCG8,inhibits,49,49,0
ABCG8,modifies,5,5,0
ABCG8,other,6,,6
ABHD1,activates,6,6,0
ABHD1,inhibits,12,12,0
ABHD1,modifies,1,1,0
ABHD10,activates,16,14,2
ABHD10,inhibits,24,24,0
ABHD10,other,3,,3
ABHD11,activates,21,21,0
ABHD11,binds,1,1,0
ABHD11,inhibits,30,30,0
ABHD11,other,3,,3
ABHD12,activates,32,32,0
ABHD12,binds,1,1,0
ABHD12,inhibits,10,10,0
ABHD12,other,1,,1
ABHD12B,activates,8,8,0
ABHD12B,binds,1,1,0
ABHD12B,inhibits,9,9,0
ABHD12B,other,2,,2
ABHD13,activates,4,4,0
ABHD13,inhibits,19,19,0
ABHD13,other,2,,2
ABHD14A,activates,9,9,0
ABHD14A,inhibits,26,26,0
ABHD14A,modifies,1,1,0
ABHD14A,other,3,,3
ABHD14A-ACY1,activates,8,8,0
ABHD14A-ACY1,inhibits,4,4,0
ABHD14B,activates,21,21,0
ABHD14B,inhibits,19,19,0
ABHD14B,other,4,,4
ABHD15,activates,21,21,0
ABHD15,inhibits,12,12,0
ABHD15,other,2,,2
