chem_id,chem_name,n_pruned
MESH:D009151,Mustard Gas,42
MESH:D017382,Reactive Oxygen Species,42
MESH:D017632,"Asbestos, Serpentine",42
MESH:C023035,"3,4,5,3',4'-pentachlorobiphenyl",41
MESH:D004051,Diethylhexyl Phthalate,41
MESH:D012906,Smoke,41
MESH:C000708871,pradimicin-IRD,40
MESH:D002185,Cannabidiol,40
MESH:D002746,Chlorpromazine,40
MESH:D005576,Colforsin,39
MESH:D014260,Triclosan,39
MESH:D015570,Josamycin,39
MESH:C406082,monomethylarsonous acid,38
MESH:D018501,Antirheumatic Agents,38
MESH:D000077288,Troglitazone,37
MESH:D000111,Acetylcysteine,37
MESH:D005230,"Fatty Acids, Nonesterified",37
MESH:D013792,Thalidomide,37
MESH:D003024,Clozapine,36
MESH:D005947,Glucose,36
MESH:D008777,Methyltestosterone,36
MESH:D013759,Dronabinol,36
MESH:D015056,1-Methyl-3-isobutylxanthine,36
MESH:C026486,"1,2,5,6-dibenzanthracene",35
MESH:C007262,deoxynivalenol,34
MESH:C009495,titanium dioxide,34
MESH:C018021,cobaltous chloride,34
MESH:D004390,Chlorpyrifos,34
MESH:D015215,Zidovudine,34
MESH:C023036,perfluorooctanoic acid,33
MESH:C085911,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one,33
MESH:C410127,PCB 180,33
MESH:D010042,Ouabain,32
MESH:D020123,Sirolimus,32
MESH:C020300,monomethylarsonic acid,31
MESH:D001374,Azacitidine,31
MESH:D003513,Cycloheximide,31
MESH:D017313,Fenretinide,31
MESH:C116926,rofecoxib,30
MESH:D014807,Vitamin D,30
MESH:C003898,2-anisidine,29
MESH:D000077267,Fulvestrant,29
MESH:D002117,Calcitriol,29
MESH:C005266,quinomethionate,28
MESH:C007738,fluoranthene,28
MESH:C029892,cupric chloride,28
